country,year,gender,bmi,alcohol,tuberculosis,syphilis,chlamydia,gonorrhoea,trichomoniasis,genital_herpes,other_stds,hiv_aids,diarrhoeal_diseases,whooping_cough,diphtheria,measles,tetanus,meningitis,encephalitis,acute_hepatitis_a,acute_hepatitis_b,acute_hepatitis_c,acute_hepatitis_e,malaria,african_trypanosomiasis,chagas_disease,schistosomiasis,leishmaniasis,lymphatic_filariasis,onchocerciasis,cysticercosis,echinococcosis,dengue,trachoma,yellow_fever,rabies,ascariasis,trichuriasis,hookworm_disease,food_bourne_trematodes,leprosy,lower_respiratory_infections,upper_respiratory_infections,otitis_media,preterm_birth_complications,birth_asphyxia_and_birth_trauma,neonatal_sepsis_and_infections,other_neonatal_conditions,protein_energy_malnutrition,iodine_deficiency,vitamin_a_deficiency,iron_deficiency_anaemia,other_nutritional_deficiencies,mouth_and_oropharynx_cancers,oesophagus_cancer,stomach_cancer,colon_and_rectum_cancers,liver_cancer,pancreas_cancer,"trachea,_bronchus,_lung_cancers",malignant_skin_melanoma,non_melanoma_skin_cancer,breast_cancer,cervix_uteri_cancer,corpus_uteri_cancer,ovary_cancer,prostate_cancer,testicular_cancer,kidney_cancer,bladder_cancer,brain_and_nervous_system_cancers,gallbladder_and_biliary_tract_cancer,larynx_cancer,thyroid_cancer,hodgkin_lymphoma,non_hodgkin_lymphoma,multiple_myeloma,leukaemia,diabetes_mellitus,"endocrine,_blood,_immune_disorders",depressive_disorders,bipolar_disorder,schizophrenia,alcohol_use_disorders,drug_use_disorders,anxiety_disorders,eating_disorders,autism_and_asperger_syndrome,childhood_behavioural_disorders,idiopathic_intellectual_disability,alzheimer_disease_and_other_dementias,parkinson_disease,epilepsy,multiple_sclerosis,migraine,non_migraine_headache,other_neurological_conditions,sense_organ_diseases,rheumatic_heart_disease,hypertensive_heart_disease,ischaemic_heart_disease,stroke,"cardiomyopathy,_myocarditis,_endocarditis",other_circulatory_diseases,chronic_obstructive_pulmonary_disease,asthma,peptic_ulcer_disease,cirrhosis_of_the_liver,appendicitis,gastritis_and_duodenitis,paralytic_ileus_and_intestinal_obstruction,inflammatory_bowel_disease,gallbladder_and_biliary_diseases,pancreatitis,kidney_diseases,benign_prostatic_hyperplasia,urolithiasis,other_urinary_diseases,infertility,gynecological_diseases,skin_diseases,rheumatoid_arthritis,osteoarthritis,gout,back_and_neck_pain,other_musculoskeletal_disorders,neural_tube_defects,cleft_lip_and_cleft_palate,down_syndrome,congenital_heart_anomalies,other_chromosomal_anomalies,other_congenital_anomalies,oral_conditions,sudden_infant_death_syndrome,road_injury,poisonings,falls,"fire,_heat_and_hot_substances",drowning,exposure_to_mechanical_forces,natural_disasters,other_unintentional_injuries,self_harm,interpersonal_violence,collective_violence_and_legal_intervention
Afghanistan,2019,Male,22.566668,0.003,4.4544687,0.05098611,0.0,0.000320594,0.0,0.0,0.000738431,0.315,2.936715,1.0337107,0.009275193,0.1727033,0.6634005,1.4294224,0.5422853,0.81926346,0.52556944,0.013417724,0.005477361,0.088065416,0.0,0.0,0.0,0.00096378,0.0,0.0,0.0,0.31931454,4.21e-05,0.0,0.0,0.06898151,0.009319345,0.0,0.0,0.0,0.0,7.8976316,0.005890784,0.000386322,6.921106,5.870244,3.172473,1.5509049,0.1945001,0.0,0.0,0.0,0.008920655,0.9802752,0.7524777,0.8614517,0.45280838,0.3846276,0.1462636,0.77935255,0.023658672,0.05726075,0.0,0.0,0.0,0.0,0.25793943,0.06507909,0.14186983,0.21081245,0.489301,0.04944922,0.14275464,0.014402762,0.10907927,0.44095832,0.03721196,0.34181544,1.524383,0.6871941,0.0,0.0,0.0,0.11559267,0.20089152,0.0,7.68e-06,0.0,0.0,0.0,0.7823329,0.3425785,0.5463069,0.034755286,0.0,0.0,0.115656145,0.0,0.38494045,3.255756,20.800797,7.870852,0.2754972,1.2052137,2.3840637,1.420699,0.7576839,2.4419217,0.16825241,0.025980594,0.30589584,0.0372211,0.11636389,0.102074854,3.1194758,0.0,0.00244116,0.065706685,0.0,0.0,0.047642652,0.006263343,0.0,0.0,0.0,0.04938624,0.46533582,0.002819013,0.06601836,0.90772533,0.054557264,1.181795,0.0,0.24153912,4.852877,0.057879683,0.62075096,0.15133907,0.8016654,1.5455773,0.067079104,2.0082843,0.90495384,2.5955215,12.843526
Afghanistan,2019,Female,22.566668,0.022,5.3846097,0.043189857,0.001424279,0.004201241,0.0,0.0,0.00282011,0.14892635,2.6186101,1.0737383,0.007202717,0.1777408,0.5908203,1.1961861,0.64778984,0.26148143,0.33789113,0.014392965,0.004179357,0.09738637,0.0,0.0,0.0,0.000398102,0.0,0.0,0.0,0.2596835,7.63e-05,0.0,0.0,0.011380243,0.00756119,0.0,0.0,0.0,0.0,6.751832,0.003334138,0.000135687,5.7095156,4.8524632,2.6198378,1.222495,0.39478686,0.0,0.0,0.0,0.017773887,0.4870311,0.56186664,0.63911587,0.28855112,0.27249753,0.083021015,0.29655886,0.02146111,0.042470068,1.8220427,0.5407347,0.2885071,0.36923826,0.0,0.0,0.09183784,0.061125338,0.33536875,0.093610175,0.04118569,0.030097134,0.06448025,0.26231176,0.032002155,0.26843962,4.225173,0.67668325,0.0,0.0,0.0,0.03430106,0.1272433,0.0,3.79e-05,0.0,0.0,0.0,0.9825254,0.28496048,0.44632462,0.049168423,0.0,0.0,0.06178843,0.0,0.6558338,4.739214,19.393877,11.18937,0.25131917,1.2411118,2.2658699,1.9820874,0.7472213,2.1578038,0.13015524,0.016895475,0.29614773,0.030615317,0.21484964,0.10435019,3.470714,0.0,0.005192175,0.0864342,0.0,0.002513457,0.04633192,0.01918112,0.0,0.0,0.0,0.08776781,0.3647306,0.012775143,0.07215444,0.8460786,0.04476571,0.98195237,0.0,0.1958906,1.1802856,0.32571143,0.2845618,0.19666645,0.19438873,0.056228865,0.06736,1.23321,0.6676526,0.62116003,12.776038
Afghanistan,2015,Male,22.5,0.002,6.109258,0.05666638,0.0,0.000277253,0.0,0.0,0.000616425,0.238,3.8838131,1.1543236,0.013842629,0.8722266,0.93679625,1.6983277,0.45966664,0.8730117,0.49811697,0.013283553,0.005220395,0.08420784,0.0,0.0,0.0,0.000862311,0.0,0.0,0.0,0.38901532,3.82e-05,0.0,0.0,0.07410527,0.012211883,0.0,0.0,0.0,0.0,8.644691,0.006164838,0.000520085,8.487919,7.271456,3.8369937,1.93097,0.26163936,0.0,0.0,0.0,0.009543676,0.86279655,0.6620312,0.774755,0.38054714,0.33919936,0.12025274,0.68283606,0.020909319,0.048481304,0.0,0.0,0.0,0.0,0.21867993,0.051713243,0.11911305,0.18366428,0.416583,0.043616768,0.12718683,0.01194657,0.09894899,0.37700295,0.0322682,0.29014593,1.2817425,0.63411677,0.0,0.0,0.0,0.098770164,0.17745209,0.0,5.46e-06,0.0,0.0,0.0,0.0,0.6450516,0.28820753,0.51455146,0.028783742,0.0,0.0,0.1037464,0.0,0.36177844,2.8582702,18.316397,7.0135813,0.23636405,1.0541137,2.1421857,1.3729311,0.72906595,2.17382,0.1611598,0.023422059,0.30772713,0.031935576,0.101528384,0.08945301,2.75387,0.0,0.00203357,0.056612656,0.0,0.0,0.040242076,0.005284118,0.0,0.0,0.0,0.04019774,0.5519092,0.00337729,0.070196405,0.9857346,0.07231008,1.3307489,0.0,0.30341402,3.980983,0.05682799,0.5704119,0.15166494,0.7690957,1.3824563,0.2866329,0.7682355,2.553344,16.771404
Afghanistan,2015,Female,24.0,0.014,7.3849373,0.04737944,0.001201271,0.003568432,0.0,0.0,0.002404385,0.105,3.3856032,1.1185331,0.010201784,0.8257275,0.8156761,1.4038599,0.5537323,0.27577496,0.32456332,0.015029631,0.004146013,0.08915587,0.0,0.0,0.0,0.000344546,0.0,0.0,0.0,0.30352733,6.61e-05,0.0,0.0,0.011880172,0.009301423,0.0,0.0,0.0,0.0,7.285388,0.003354189,0.000152038,6.912942,5.922059,3.1208792,1.510163,0.46672204,0.0,0.0,0.0,0.017670121,0.41631246,0.50006133,0.596298,0.24401048,0.25305218,0.06451486,0.23976308,0.019983644,0.035382096,1.5174687,0.48708302,0.24636933,0.29930627,0.0,0.0,0.075588174,0.05344352,0.27290797,0.083790876,0.036303516,0.027287679,0.057794668,0.23485097,0.028820058,0.26044264,3.3863177,0.6000904,0.0,0.0,0.0,0.030970229,0.111355275,0.0,2.85e-05,0.0,0.0,0.0,0.8086006,0.23091564,0.40846527,0.040734343,0.0,0.0,0.049902804,0.0,0.60692704,4.0276313,16.38717,9.6464815,0.21806082,1.0507197,1.9363867,1.8058997,0.6924934,1.8851745,0.11994605,0.014350741,0.29261065,0.025914215,0.18288183,0.0903816,2.9319785,0.0,0.004168314,0.07189133,0.0,0.002243996,0.03789688,0.015688533,0.0,0.0,0.0,0.06993951,0.43412772,0.015833085,0.078328155,0.8880788,0.051010165,1.065611,0.0,0.2602309,0.96144176,0.3103112,0.3226686,0.1831468,0.25174114,0.05214055,0.17298132,1.2038428,0.5974015,0.5762368,7.570893
Afghanistan,2010,Male,22.1,0.006,5.652315,0.051922146,0.0,0.000242791,0.0,0.0,0.000609453,0.156,5.2760963,1.2214959,0.047515202,1.9405017,1.6223283,2.5753627,0.45665002,1.0971038,0.51982725,0.015235928,0.005241853,0.08197662,0.0,0.0,0.0,0.001607811,0.0,0.0,0.0,0.62771255,4.13e-05,0.0,0.0,0.10620329,0.017207965,0.0,0.0,0.0,0.0,11.250612,0.007122636,0.001068399,9.010967,8.676687,4.4241915,2.2177756,0.37317342,0.0,0.0,0.0,0.012308007,0.7388885,0.56274694,0.6929925,0.29920143,0.28392014,0.09004043,0.57528317,0.017987108,0.03914766,0.0,0.0,0.0,0.0,0.1759587,0.043074124,0.09587545,0.15185337,0.40991125,0.037230898,0.11206214,0.010690257,0.09216595,0.32545173,0.02685418,0.321423,1.0459218,0.62367624,0.0,0.0,0.0,0.08751438,0.14054358,0.0,4.35e-06,0.0,0.0,0.0,0.5321449,0.24582449,0.5528473,0.024339221,0.0,0.0,0.09460478,0.0,0.37961888,2.5243719,16.68395,6.490833,0.21281764,0.96279395,2.0093644,1.4399831,0.75393367,2.0255318,0.18434323,0.021665169,0.29230908,0.027209966,0.09100705,0.07974713,2.425604,0.0,0.00183353,0.052759517,0.0,0.0,0.03391275,0.004498779,0.0,0.0,0.0,0.035242856,0.69570667,0.004282314,0.081390716,1.0126358,0.081438266,1.3838695,0.0,0.32044986,3.3064642,0.087784946,0.69788307,0.23537599,1.3701719,1.611014,0.21953328,2.5139132,0.692336,2.2337296,5.6847177
Afghanistan,2010,Female,23.4,0.042,6.6814256,0.04408359,0.001053396,0.003083031,0.0,0.0,0.002122206,0.070656046,4.760638,1.2772658,0.03780425,1.9907452,1.4393029,2.2025201,0.5759301,0.36867338,0.37341636,0.020511482,0.004729458,0.088291325,0.0,0.0,0.0,0.000661603,0.0,0.0,0.0,0.4411928,6.25e-05,0.0,0.0,0.016245255,0.013638215,0.0,0.0,0.0,0.0,9.7880125,0.004646081,0.000262048,7.4441757,7.162338,3.6459613,1.7791694,0.64871293,0.0,0.0,0.0,0.020062882,0.3461889,0.4380593,0.5098654,0.18913803,0.21565388,0.04509053,0.17904443,0.016867092,0.028054504,1.2071439,0.4316942,0.19815502,0.23408689,0.0,0.0,0.06273794,0.044910178,0.27053353,0.072091885,0.030784262,0.022491464,0.049675763,0.1836678,0.02413258,0.2525956,2.5756176,0.60053605,0.0,0.0,0.0,0.028496055,0.08351693,0.0,1.99e-05,0.0,0.0,0.0,0.6542283,0.18581145,0.45512414,0.035809647,0.0,0.0,0.04386974,0.0,0.61334455,3.488136,14.321612,8.58362,0.20267557,0.9346296,1.7470194,1.80281,0.7043163,1.8134394,0.13752747,0.012509597,0.2802327,0.022567613,0.16130045,0.08130832,2.533258,0.0,0.00360238,0.06416805,0.0,0.002320842,0.03132784,0.013147278,0.0,0.0,0.0,0.057760496,0.5955947,0.025474627,0.095015325,0.95194817,0.05576156,1.1149696,0.0,0.28195974,0.9012374,0.41717434,0.61926204,0.2331984,0.7279402,0.07049174,0.13733384,1.8275133,0.5526525,0.40468892,2.7773013
Afghanistan,2000,Male,21.3,0.009,6.3703475,0.046049837,0.0,0.000156267,0.0,0.0,0.000369008,0.047,7.75701,0.8870318,0.08874445,6.1538386,6.54152,3.058222,0.30996564,1.8295119,0.7680468,0.026206598,0.007266121,0.47200996,0.0,0.0,0.0,0.07026103,0.0,0.0,0.0,0.70178336,4.73e-05,0.0,0.0,0.08435836,0.01673195,0.0,0.0,0.0,0.0,13.233492,0.004811757,0.001503806,9.816392,9.140328,2.7276316,1.8759772,0.48751983,0.0,0.0,0.0,0.011976071,0.5907667,0.4327809,0.5376487,0.19300748,0.21804115,0.054461695,0.41449726,0.014184476,0.024997093,0.0,0.0,0.0,0.0,0.1203807,0.021101393,0.061541777,0.11029196,0.27944475,0.02721909,0.08576939,0.006577283,0.073395215,0.22382493,0.020066837,0.21321872,0.66683674,0.4269715,0.0,0.0,0.0,0.0735278,0.083626226,0.0,1.96e-06,0.0,0.0,0.0,0.37347737,0.18542686,0.47512048,0.017466877,0.0,0.0,0.061287645,0.0,0.3680953,1.9040353,14.5884905,5.5013366,0.16539319,0.687094,1.650542,1.4628518,0.6643802,1.6309627,0.16706571,0.012980979,0.21015133,0.017764028,0.062042482,0.060799494,1.8201444,0.0,0.00079872,0.03156615,0.0,0.0,0.019314773,0.00250085,0.0,0.0,0.0,0.022071203,0.7027406,0.002611815,0.040642966,0.77480257,0.02980751,1.1294937,0.0,0.32122865,2.3804018,0.07786837,0.51964587,0.20176321,1.0819654,1.1652092,0.0,2.0341854,0.5372088,1.7865248,4.0012956
Afghanistan,2000,Female,22.1,0.06,7.700545,0.039459195,0.000651146,0.001904667,0.0,0.0,0.00134134,0.016683249,6.9819474,0.9787655,0.07516768,6.5771704,5.572135,2.6532652,0.45318472,0.37850317,0.40000153,0.025521558,0.005212027,0.49899003,0.0,0.0,0.0,0.02865029,0.0,0.0,0.0,0.47955438,4.94e-05,0.0,0.0,0.011577746,0.013566841,0.0,0.0,0.0,0.0,11.521441,0.00318174,0.000339353,8.13109,7.5811844,2.2584233,1.5441324,0.76832426,0.0,0.0,0.0,0.015967734,0.25770938,0.3526721,0.38530782,0.12192396,0.16823564,0.023829676,0.10805299,0.013103326,0.015270025,0.8543629,0.3683328,0.13012132,0.1457771,0.0,0.0,0.035546225,0.03351838,0.17424685,0.05575965,0.022802852,0.015360478,0.038823448,0.12988256,0.01750485,0.1761006,1.3943145,0.3794898,0.0,0.0,0.0,0.025687322,0.049646307,0.0,1.2e-05,0.0,0.0,0.0,0.42324182,0.11720434,0.37872136,0.02264291,0.0,0.0,0.023022592,0.0,0.56979036,2.4587808,11.017074,6.664213,0.15900758,0.6228104,1.2452255,1.6216149,0.6172633,1.3970531,0.1209397,0.005632036,0.20898218,0.013787682,0.09942251,0.0557713,1.7046441,0.0,0.001557307,0.037250906,0.0,0.001273041,0.014998608,0.007719064,0.0,0.0,0.0,0.032765336,0.611707,0.029794203,0.052304506,0.6874918,0.024707008,0.92147094,0.0,0.28771847,0.6639486,0.35892853,0.40758467,0.18051177,0.62262684,0.04765317,0.0,1.5295165,0.48299605,0.24542837,1.9028039
Albania,2019,Male,25.95,11.02,0.005686182,0.000397244,0.0,1.29e-05,0.0,0.0,6.71e-06,0.024,0.003796673,0.000341386,1.13e-05,6.82e-05,0.001563494,0.007383926,0.01065472,2.69e-05,0.000351753,6.55e-05,1.27e-05,0.0,0.0,0.0,0.0,0.000555153,0.0,0.0,0.0,1.85e-06,0.0,0.0,0.0,1.41e-07,0.0,0.0,0.0,0.0,0.0,0.29098868,0.006114369,2.46e-05,0.06015138,0.018233625,0.005576771,0.009315338,0.001104022,0.0,0.0,0.0,0.000471257,0.057890777,0.043831404,0.3566155,0.11662277,0.26462352,0.16359112,0.86658543,0.012966259,0.027113635,0.0,0.0,0.0,0.0,0.31072512,0.008727065,0.09072987,0.2638926,0.15455928,0.007391085,0.080370426,0.005065772,0.010511449,0.018772546,0.020088306,0.07767921,0.08974623,0.045725953,0.0,0.0,0.0,0.013333635,0.018251512,0.0,2.96e-07,0.0,0.0,0.0,0.50575817,0.1867133,0.020832932,0.019920418,0.0,0.0,0.035217687,0.0,0.019572916,0.15732655,4.023249,3.4495568,0.22460449,0.41364086,0.47747597,0.12450749,0.021983355,0.22166914,0.002051097,0.000850712,0.014192469,0.005197829,0.011100723,0.017186625,0.19923992,0.0,0.000395728,0.025230298,0.0,0.0,0.002795996,0.005165308,0.0,0.0,0.0,0.005865563,0.003925362,1.56e-05,0.001065505,0.033569954,0.00282868,0.015076101,0.0,0.00099987,0.2588806,0.005704993,0.06457879,0.008442896,0.0199806,0.034042962,0.033273097,0.07041783,0.087084144,0.0728438,0.000188168
Albania,2019,Female,25.95,2.53,0.00274174,0.000422206,0.000119518,0.000340885,0.0,0.0,0.000120893,0.001605027,0.005489791,0.001035675,8.06e-06,0.000120649,0.001171022,0.006386542,0.008941395,2.8e-05,0.000141108,6.81e-05,1.33e-05,0.0,0.0,0.0,0.0,0.000267041,0.0,0.0,0.0,3.41e-08,0.0,0.0,0.0,1.6e-09,0.0,0.0,0.0,0.0,0.0,0.34277055,0.006061072,2.52e-05,0.046230596,0.014092923,0.004130957,0.007059686,0.001498164,0.0,0.0,0.0,0.001320666,0.031643115,0.007717526,0.13657276,0.08038684,0.16913438,0.061043926,0.1597202,0.010471635,0.013100368,0.2294163,0.047802422,0.04192082,0.039471164,0.0,0.0,0.021459699,0.06588261,0.090738766,0.03408042,0.010643278,0.007756704,0.006672569,0.005981426,0.006742391,0.053699046,0.118747585,0.045037046,0.0,0.0,0.0,0.005069489,0.006887698,0.0,3.54e-06,0.0,0.0,0.0,1.3213257,0.18182543,0.023257496,0.018818982,0.0,0.0,0.04771976,0.0,0.03067645,0.26789108,4.773986,5.3407335,0.24023317,0.54102486,0.39893156,0.06810386,0.034894668,0.15439603,0.003239509,0.001253217,0.032353573,0.009968193,0.023097187,0.01813824,0.19928996,0.0,0.000182785,0.008694088,0.0,0.004404085,0.003174341,0.005900935,0.0,0.0,0.0,0.033298675,0.002879037,1.8e-05,0.000889339,0.029528111,0.003168825,0.009474807,0.0,0.000421086,0.078180775,0.00324669,0.060401794,0.011215381,0.005423111,0.008541312,0.020578355,0.035054557,0.037884597,0.029722111,0.000153379
