country,gdp,avg_stroke_cases,avg_age,life_expectancy
Afghanistan,,9.2828878875,22.566667,
Albania,,2.9598695125,25.95,
Algeria,,11.42756855,24.95,
Angola,,4.714390075,22.55,
Antigua and Barbuda,,0.03182988925,25.933333,
Argentina,,13.3371665625,26.916666499999998,
Armenia,,1.7899953375000002,25.88333325,
Australia,,6.6264017625,26.75,
Austria,,4.070052025,25.3,
Azerbaijan,,6.84544435,26.25,
Bahamas,,0.098936262,27.333333500000002,
Bahrain,,0.15430552525,25.15,
Bangladesh,,57.5049365,20.933333,
Barbados,,0.1663405325,27.166666499999998,
Belarus,,11.3722338125,26.11666675,
Belgium,,4.6097603875,25.816667,
Belize,,0.05651708225,28.21666675,
Benin,,2.513822425,22.86666675,
Bhutan,,0.17203324374999998,23.15,
Bolivia (Purinational State Of),,3.181497975,25.65,
Bosnia and Herzegovina,,3.7443005,25.2666665,
Botswana,,0.7452893137500001,23.96666675,
Brazil,,62.074539125,25.683333,
Brunei Darussalam,,0.087233897625,26.2333335,
Bulgaria,,12.6684065,25.833333500000002,
Burkina Faso,,2.876689275,21.63333325,
Burundi,,1.9867798,21.2,
Cabo Verde,,0.109244002,23.933333,
Cambodia,,5.350467025,21.45,
Cameroon,,5.2483987249999995,23.75,
Canada,,9.30912605,26.683333,
Central African Republic,,1.6764212625,22.21666675,
Chad,,2.6000428125,21.4833335,
Chile,,4.8757079,27.333333500000002,
China,,917.4979325,23.11666675,
Colombia,,9.05386785,25.5166665,
Comoros,,0.159996515,23.666666499999998,
Congo,,1.1052735575,22.65,
Costa Rica,,0.80566139875,26.61666675,
Croatia,,4.126463425,26.46666675,
Cuba,,5.5305009499999995,25.083333500000002,
Cyprus,,0.31607409875000003,26.566667,
Czechia,,7.402005625,26.7666665,
Côte d'Ivoire,,4.9858970125,23.2666665,
Democratic People's Republic of Korea,,20.333139375,23.53333325,
Democratic Republic of the Congo,,15.3923185,21.4,
Denmark,,2.3549750124999997,25.13333325,
Dijibouti,,0.273471555,23.7666665,
